0,"[['母女', '江山'], ['黃越綏'], ['散文'], ['女性'], ['婚姻', '諮詢'], ['月經'], ['懷孕'], ['更年期']]"
1,"[['我', '鐘樓', '上', '的', '野獸'], ['杜瑞爾', '野生', '動植物', '保育', '信託'], ['Gerald Durrell'], ['動物', '作家'], ['希臘', '狂想曲'], ['杜瑞爾'], ['麋鹿'], ['中國'], ['四不像'], ['譚微道'], ['貝福德', '公爵'], ['惠普斯奈', '動物園'], ['飼育員']]"
10,"[['我們', '與', '惡', '的', '距離'], ['精神疾病'], ['思覺', '失調', '症'], ['美麗', '境界'], ['基因'], ['遺傳'], ['壓力'], ['應思聰']]"
100,"[['前進', '東南亞'], ['新', '南向'], ['東協'], ['好', '優數位'], ['東協十國'], ['東南亞']]"
1000,"[['張景皓'], ['痣'], ['黑色素瘤'], ['皮膚科'], ['黑痣']]"
1001,"[['老大人'], ['親情', '電影'], ['照顧者'], ['長照', '資源'], ['鄰里', '關係'], ['照顧', '壓力'], ['養老院'], ['憂鬱', '情緒'], ['高齡', '長照小學堂']]"
1002,"[['總統'], ['初選'], ['民主', '黨'], ['共和', '黨'], ['賴清德'], ['蔡英文'], ['協商'], ['全民調']]"
1003,"[['南美洲'], ['拉丁美洲'], ['委內瑞拉'], ['馬', '杜洛'], ['瓜伊多'], ['美中', '貿易戰'], ['南美', '進步', '論壇'], ['南美', '國家', '聯盟'], ['環', '大西洋', '小學堂']]"
1004,"[['李志'], ['言論', '自由'], ['成龍'], ['六四', '事件'], ['廣場'], ['1990', '年', '的', '春天']]"
1005,"[['台灣', '本田'], ['日本', '本田'], ['Honda', 'Taiwan'], ['發電機'], ['HONDA'], ['15', '週年'], ['正', 'H'], ['割草', '機'], ['休旅車']]"
1006,"[['漁光島', '藝術節'], ['奇幻', '島'], ['游文富'], ['破壞'], ['藝術品'], ['拍照'], ['Instagramable'], ['藝術節'], ['打卡', '點'], ['互動', '展覽']]"
1007,"[['柯映安'], ['死', '了', '一個', '娛樂', '女', '記者', '之後']]"
1008,"[['車諾比'], ['核電'], ['核能', '電廠'], ['廢核', '遊行'], ['福島'], ['核災'], ['輻射'], ['放射', '線'], ['突變'], ['綠色', '公民', '行動', '聯盟']]"
1009,"[['55688'], ['台灣', '大車隊'], ['App'], ['叫車', '服務']]"
101,"[['Quicksand'], ['流沙', '刑'], ['瑞典'], ['上流', '社會'], ['階級', '差異'], ['難民', '問題']]"
1010,"[['用戶', '運營'], ['內容', '行銷'], ['內容', '生產'], ['用戶', '需求', '分析'], ['產品', '需求'], ['內容', '規劃'], ['模式化', '生產'], ['用戶', '習慣']]"
1011,"[['physiological', ' ', 'dreams'], ['lucid', ' ', 'dream'], ['false', ' ', 'awakening'], ['typical', ' ', 'dreams'], ['telepathic'], ['telepathic', ' ', 'dream'], ['夢境']]"
1012,"[['回收', '綠報', '報'], ['廢機動車'], ['再生'], ['回收'], ['彰化', '集合', '成'], ['粉碎', '後', '殘餘物'], ['ASR'], ['Automobile', ' ', 'Shredder', ' ', 'Residues'], ['廢塑膠', '混合物'], ['廢橡膠', '混合物'], ['去化']]"
1013,"[['英國', 'BBC', ' ', '的', '經典', '節目', '現代藝術', '的', '故事'], ['現代藝術', '的', '故事'], ['威爾', '．', '岡波茲'], ['高更'], ['大溪地'], ['布道', '後', '的', '幻影'], ['梅毒'], ['象徵', '主義']]"
1014,"[['美國', '白宮'], ['新聞', '發布室'], ['白宮', '記者'], ['美國', '總統'], ['川普'], ['歐巴馬'], ['白宮', '新聞', '祕', '書'], ['白宮', '義見'], ['張經義']]"
1015,"[['原始', '主義'], ['雕塑'], ['布朗', '庫西'], ['賈科梅帝'], ['羅', '丹'], ['威爾', '．', '岡波茲'], ['英國', 'BBC', ' ', '的', '經典', '節目', '現代藝術', '的', '故事'], ['現代藝術', '的', '故事']]"
1016,"[['通俄門', '事件'], ['普丁'], ['希拉', '蕊'], ['塞', '申斯'], ['特別', '檢察官'], ['彈劾'], ['下層', '勢力'], ['民粹', '主義'], ['白宮', '義見'], ['白宮', '記者'], ['張經義']]"
1017,"[['創業'], ['共享', '聚落'], ['社群', '媒體'], ['新創', '公司'], ['斜槓', '世代'], ['新創', '孵化器'], ['資源', '整合']]"
1018,"[['U', '型理論', '精要'], ['系統', '思考'], ['C', '.', ' ', 'Otto', ' ', 'Scharmer'], ['奧圖', '夏默'], ['麻省理工', '學院'], ['做', '中學'], ['第五', '項修練'], ['自然', '流現'], ['社會', '場域']]"
1019,"[['醫道', '同源'], ['蔡璧名'], ['老子'], ['莊子'], ['台大'], ['人生']]"
102,"[['和', '算'], ['數學'], ['日本'], ['關流'], ['江戶', '時代'], ['幾何'], ['精要', '算法']]"
1020,"[['雲門', '舞集'], ['毛月亮'], ['1Q84'], ['村上', '春樹'], ['雲門', '2'], ['羅', '曼菲'], ['鄭宗龍'], ['Sigur', ' ', 'R', '?', 's'], ['冰島'], ['十三', '聲']]"
1021,"[['老子'], ['台大'], ['醫道', '同源'], ['莊子'], ['蔡璧名'], ['人生']]"
1022,"[['回收', '綠報', '報'], ['汽車', '回收'], ['環境'], ['大里', '金屬'], ['汽車', '拆解', '機'], ['陳', '金章']]"
1023,"[['奧拉之城'], ['Lucy', ' ', 'R', '.', ' ', 'Lippard'], ['公園'], ['Public', ' ', 'Garden'], ['高雄市', '中央', '公園'], ['Electri', ' ', 'City'], ['能源'], ['文明'], ['黃', '彥穎'], ['現象', '書', '寫', '－', '視覺', '藝評']]"
1024,"[['日本天皇'], ['明仁'], ['平成'], ['令', '和'], ['年號'], ['昭和'], ['西太平洋', '小學堂']]"
1025,"[['蔡英文'], ['賴清德'], ['民進', '黨'], ['初選'], ['總統', '選舉'], ['2020', '總統', '大選']]"
1026,"[['經濟部', '中小', '企業', '處'], ['中小', '企業', '處'], ['創新'], ['創', '新法', '規沙盒'], ['科技'], ['企業', '新創', '實驗', '特例']]"
1027,"[['英文'], ['片語'], ['英文', '口', '說'], ['英文', '文法'], ['英文', '寫作'], ['排比'], ['牛津', '逗號'], ['平行', '結構']]"
1028,"[['生物', '礁'], ['熱帶', '海域'], ['海洋生物'], ['海洋'], ['台灣', '海峽'], ['珊瑚'], ['海洋生物', '學'], ['台灣'], ['中繼站'], ['趣味', '科學', '小學堂']]"
1029,"[['汽車'], ['安全'], ['Lancer04'], ['懶人包'], ['三菱'], ['買車'], ['生活']]"
103,"[['SalesFrontier'], ['數位', '廣告'], ['陳建勳'], ['DDC'], ['成果', '行銷']]"
1030,"[['我們', '與', '惡', '的', '距離'], ['偏見'], ['刻板', '印象'], ['歧視'], ['精神疾病'], ['思覺', '失調', '症'], ['應思聰'], ['政大搖搖哥'], ['房思琪', '的', '初', '戀樂園'], ['林奕含']]"
1031,"[['霸王', '別姬'], ['批鬥'], ['紅衛兵'], ['張國榮'], ['和平', '協議'], ['MOU'], ['統戰'], ['極權'], ['1984'], ['老大哥'], ['政治', '歸', '政治']]"
1032,"[['全民', '社造'], ['社區', '一家'], ['社區', '營造'], ['信義', '房屋'], ['徵件'], ['Taiwan4718']]"
1033,"[['性別', '刻板', '印象'], ['男女', '失衡'], ['經濟系'], ['性別', '不', '平等'], ['數學'], ['玻璃', '天花板'], ['男女', '比'], ['經濟學'], ['性別', '比例'], ['性別', '特調', '小學堂']]"
1034,"[['保健食品'], ['瓶蓋'], ['真空'], ['白蘭氏', '三重', '安全', '防護'], ['認證', '標章'], ['品質', '安全'], ['包裝'], ['保鮮度']]"
1035,"[['子敏'], ['林良'], ['小太陽'], ['林瑋'], ['2018Openbook', '最佳', '童書'], ['國語', '日報'], ['小', '方舟'], ['我', '是', '一', '隻', '狐狸狗'], ['成長', '故事'], ['永遠', '的', '小太陽'], ['林良', '爺爺', '的', '700', '字', '故事']]"
1036,"[['中國'], ['法律'], ['律師'], ['中共']]"
